flow_id,total_fwd_packets,total_backward_packets,label,flow_duration,flow_iat_mean,flow_iat_max,packet_rows,packet_fwd_count,packet_bwd_count,packet_unknown_direction_count,any_packet_label,alert_packet_count,packet_payload_sum,flow_iat_mean_from_packets,flow_iat_max_from_packets,direction_iat_mean_from_packets,direction_iat_max_from_packets,_merge,fwd_packet_diff,bwd_packet_diff
127811141831383,1,1,0,968,968.0,968,2,1,1,0,0,0,50,484.0,968,0.0,0,both,0,0
128212374554369,2,0,0,36086,36086.0,36086,2,2,0,0,0,0,0,18043.0,36086,18043.0,36086,both,0,0
128213261881017,2,0,0,36086,36086.0,36086,2,2,0,0,0,0,0,18043.0,36086,18043.0,36086,both,0,0
128344355073951,2,0,0,36055,36055.0,36055,2,2,0,0,0,0,0,18027.5,36055,18027.5,36055,both,0,0
129810712039528,4,0,0,35714,11904.666667,17874,4,4,0,0,0,0,411,8928.5,17874,8928.5,17874,both,0,0
129967394840422,1,1,0,12160,12160.0,12160,2,1,1,0,0,0,912,6080.0,12160,0.0,0,both,0,0
130599464223614,1,0,0,0,0.0,0,1,1,0,0,0,0,0,0.0,0,0.0,0,both,0,0
131541410583885,1,1,0,9432,9432.0,9432,2,1,1,0,0,0,219,4716.0,9432,0.0,0,both,0,0
132289360031826,2,1,0,35136,17568.0,27588,3,2,1,0,0,0,0,11712.0,27588,11712.0,35136,both,0,0
134835862687786,2,1,0,23702,11851.0,13463,3,2,1,0,0,0,1713,7900.666666666667,13463,7900.666666666667,23702,both,0,0
135434086707058,2,0,0,34404,34404.0,34404,2,2,0,0,0,0,0,17202.0,34404,17202.0,34404,both,0,0
135965842807485,2,0,0,25,25.0,25,2,2,0,0,0,0,187,12.5,25,12.5,25,both,0,0
135999319565836,2,0,0,34273,34273.0,34273,2,2,0,0,0,0,0,17136.5,34273,17136.5,34273,both,0,0
137043014375230,9,1,1,34030,3781.111111,13441,10,9,1,0,1,1,4822,3403.0,13441,3403.0,14397,both,0,0
137526340092187,1,0,0,0,0.0,0,1,1,0,0,0,0,31,0.0,0,0.0,0,both,0,0
137912833192710,1,0,0,0,0.0,0,1,1,0,0,0,0,0,0.0,0,0.0,0,both,0,0
139119129306967,1,1,0,8412,8412.0,8412,2,1,1,0,0,0,135,4206.0,8412,0.0,0,both,0,0
139147298372059,1,1,0,3275,3275.0,3275,2,1,1,0,0,0,37,1637.5,3275,0.0,0,both,0,0
140065901379665,1,0,0,0,0.0,0,1,1,0,0,0,0,43,0.0,0,0.0,0,both,0,0
140786169359118,5,2,0,33158,5526.333333,13768,7,5,2,0,0,0,4520,4736.857142857143,13768,4738.571428571428,24956,both,0,0
143826509752972,1,1,0,14448,14448.0,14448,2,1,1,0,0,0,1,7224.0,14448,0.0,0,both,0,0
145780744797811,1,0,0,0,0.0,0,1,1,0,0,0,0,103,0.0,0,0.0,0,both,0,0
